Age,Ethnicity,Gender,Income,District,Region,Insurance Coverage,Insurance Coverage Amount,Sports,Height,Weight,Pricepoint
56,South Asians,Male,33418.0,North,New Territories,yes,286.7967513700411,Fencing,142,69.64420491252038,
38,Chinese,Female,41396.0,Tsuen Wan,New Territories,no,0.0,Tennis,183,85.94048034868771,
69,Chinese,Male,23556.0,Wong Tai Sin,Kowloon,no,0.0,Martial Arts,153,70.7979691991527,
70,Chinese,Female,25486.0,Yuen Long,New Territories,yes,135.0,Basketball,145,81.57951856837312,
59,Chinese,Male,60675.0,Southern,Hong Kong Island,no,0.0,Fencing,153,67.52731725707915,1116.682314585245
62,Chinese,Male,71216.0,Wan Chai,Hong Kong Island,no,0.0,Rugby,190,78.69486670669633,1162.3998089983804
22,Whites,Female,54483.0,Sha Tin,New Territories,no,0.0,Gymnastics,162,87.09737873706501,
61,Chinese,Male,69948.0,Eastern,Hong Kong Island,yes,473.33054069425106,Gymnastics,166,88.06797443634446,702.1019583641023
30,Chinese,Female,43755.0,Kowloon City,Kowloon,yes,254.69605254415467,Badminton,152,73.70270862630699,
39,Whites,Female,34892.0,Sha Tin,New Territories,no,0.0,Rugby,197,80.98504964768222,
45,Chinese,Female,36306.0,Kwun Tong,Kowloon,yes,195.0,Cycling,176,71.42987363774915,
41,Whites,Female,52879.0,Kwai Tsing,New Territories,no,0.0,Gymnastics,141,80.5190745754081,
20,Chinese,Male,52082.0,Kowloon City,Kowloon,no,0.0,Tennis,141,53.209926866890314,
23,Chinese,Female,23510.0,Yau Tsim Mong,Kowloon,no,0.0,Basketball,145,85.8426284893773,
39,Chinese,Female,26287.0,Eastern,Hong Kong Island,no,0.0,Badminton,158,83.70009291533015,992.19325233907
57,Chinese,Female,31111.0,Sai Kung,New Territories,yes,181.52614664483607,Gymnastics,199,82.64052984739448,
33,South Asians,Male,57049.0,Sha Tin,New Territories,yes,290.52850334854793,Cycling,180,91.3951745141159,
20,Whites,Female,67874.0,Southern,Hong Kong Island,no,0.0,Tennis,187,75.46283075160358,1267.2289893194725
63,Chinese,Female,31426.0,Southern,Hong Kong Island,yes,365.09797846083916,Fencing,147,77.7958899524516,1526.2142339848037
39,Chinese,Female,38436.0,Central and Western,Hong Kong Island,yes,394.58547293528585,Football,144,74.96689481942647,1148.1216021305763
66,Chinese,Female,29435.0,Yau Tsim Mong,Kowloon,yes,393.98087047510546,Football,185,78.38030214124265,
38,Chinese,Male,23327.0,Tsuen Wan,New Territories,yes,270.834736234236,Fencing,189,89.01639835922887,
49,Chinese,Male,51538.0,Kwai Tsing,New Territories,no,0.0,Rugby,193,72.57864505634328,
43,South Asians,Male,43716.0,Southern,Hong Kong Island,yes,300.0,Martial Arts,190,75.49739968067902,288.97385133599397
40,Chinese,Male,51958.0,Kwai Tsing,New Territories,no,0.0,Jogging,182,81.91424015276371,
70,Chinese,Female,35876.0,Eastern,Hong Kong Island,yes,300.0,Basketball,199,76.17804177656555,226.83428013225
43,Chinese,Male,54222.0,Wan Chai,Hong Kong Island,no,0.0,Basketball,171,93.32363392224877,2311.9926843843823
56,Chinese,Male,43130.0,Kowloon City,Kowloon,no,0.0,Martial Arts,144,81.1428955764382,
64,Chinese,Female,46151.0,Wong Tai Sin,Kowloon,no,0.0,Swimming,162,74.8048364194608,
27,Chinese,Female,44207.0,Tuen Mun,New Territories,no,0.0,Basketball,188,86.79687200504407,
45,Chinese,Male,53071.0,Wan Chai,Hong Kong Island,yes,581.5999029155473,Martial Arts,142,77.41141405620866,2174.2554315285643
63,Chinese,Male,37082.0,Central and Western,Hong Kong Island,yes,300.0,Swimming,189,75.85532619676411,1109.8399501733002
38,Other,Female,40988.0,Eastern,Hong Kong Island,yes,453.2758758189751,Football,178,88.94940516295,1841.591415275416
40,South Asians,Male,48584.0,Tuen Mun,New Territories,yes,135.0,Football,175,82.90455682669847,
29,Other,Male,57502.0,Tai Po,New Territories,no,0.0,Tennis,151,84.83938337422859,
53,Whites,Female,73540.0,Wong Tai Sin,Kowloon,no,0.0,Swimming,174,70.22671624629183,
40,Chinese,Male,39846.0,Sha Tin,New Territories,yes,135.0,Fencing,181,88.289615729035,
19,Chinese,Male,25541.0,Kwai Tsing,New Territories,yes,285.7203528624832,Badminton,145,72.13037456548795,
48,Chinese,Female,25301.0,Sai Kung,New Territories,no,0.0,Badminton,167,83.5804648721097,
56,Filipinos,Male,35504.0,Wan Chai,Hong Kong Island,no,0.0,Dragon Boat,183,85.88821227923887,1168.243135970238
33,Chinese,Male,48843.0,Kwun Tong,Kowloon,yes,250.58901422955947,Swimming,193,90.57856509376543,
28,Chinese,Female,31023.0,Southern,Hong Kong Island,no,0.0,Martial Arts,189,84.26673604590681,430.7059127873868
44,Chinese,Male,48216.0,Tuen Mun,New Territories,yes,135.0,Jogging,157,89.87747971684497,
42,Chinese,Female,28989.0,Wan Chai,Hong Kong Island,no,0.0,Football,150,61.157477516606576,3464.746188363649
44,Chinese,Male,21633.0,Tuen Mun,New Territories,yes,311.5051177318424,Swimming,177,81.73143628642529,
70,Whites,Female,48456.0,Yuen Long,New Territories,yes,396.23492689017604,Football,188,89.06044505284343,
57,Chinese,Female,42239.0,Eastern,Hong Kong Island,yes,300.0,Martial Arts,144,69.2939311083171,1765.703116484357
28,Chinese,Female,41881.0,Sai Kung,New Territories,no,0.0,Tennis,173,76.48071687192177,
69,Chinese,Male,39637.0,Kwai Tsing,New Territories,yes,231.61223399551437,Football,149,75.82432854846769,
19,Chinese,Male,32330.0,Tuen Mun,New Territories,yes,181.58891912323105,Badminton,179,76.9492932057622,
21,Chinese,Male,38266.0,Sai Kung,New Territories,yes,135.0,Swimming,157,69.8760074136921,
38,Chinese,Male,51907.0,Kwai Tsing,New Territories,no,0.0,Rugby,148,70.12779605412915,
43,South Asians,Male,30453.0,Tuen Mun,New Territories,yes,135.0,Fencing,188,84.02502740608853,
64,Chinese,Female,43150.0,Islands,New Territories,no,0.0,Fencing,190,83.28508367880364,
24,Chinese,Male,22797.0,Yau Tsim Mong,Kowloon,yes,195.0,Gymnastics,176,82.27937175308584,
34,Chinese,Female,50147.0,Southern,Hong Kong Island,no,0.0,Basketball,186,71.87171143281509,2375.125426483244
